x,y,collision
-9.76295,-3.00332,0
-9.71787,-2.99820,0
-9.67391,-2.99309,0
-9.62838,-2.98875,0
-9.58180,-2.98388,0
-9.53462,-2.97809,0
-9.48577,-2.97281,0
-9.43508,-2.96668,0
-9.38473,-2.96070,0
-9.33696,-2.95559,0
-9.28583,-2.95093,0
-9.23596,-2.94678,0
-9.19069,-2.94395,0
-9.14291,-2.94176,0
-9.09854,-2.94002,0
-9.04883,-2.93989,0
-8.99846,-2.94030,0
-8.94928,-2.94058,0
-8.90115,-2.94069,0
-8.85343,-2.94133,0
-8.80681,-2.94213,0
-8.75511,-2.94218,0
-8.70618,-2.94165,0
-8.65594,-2.94101,0
-8.61029,-2.94023,0
-8.55890,-2.93893,0
-8.51152,-2.93699,0
-8.46625,-2.93490,0
-8.42399,-2.93268,0
-8.38687,-2.93062,0
-8.34291,-2.92831,0
-8.30342,-2.92599,0
-8.26215,-2.92344,0
-8.21876,-2.92135,0
-8.18212,-2.91863,0
-8.13918,-2.91566,0
-8.09699,-2.91325,0
-8.05667,-2.90979,0
-8.02102,-2.90627,0
-7.97950,-2.90224,0
-7.94167,-2.89878,0
-7.90084,-2.89577,0
-7.85545,-2.89066,0
-7.81443,-2.88681,0
-7.76934,-2.88125,0
-7.72420,-2.87455,0
-7.68302,-2.86864,0
-7.64143,-2.86296,0
-7.60377,-2.85791,0
-7.55483,-2.85171,0
-7.51735,-2.84631,0
-7.48000,-2.84091,0
-7.43775,-2.83492,0
-7.39626,-2.82716,0
-7.34882,-2.81794,0
-7.31110,-2.81067,0
-7.26662,-2.80055,0
-7.22271,-2.79088,0
-7.18581,-2.78301,0
-7.14102,-2.77236,0
-7.10119,-2.76294,0
-7.05940,-2.75397,0
-7.02460,-2.74617,0
-6.98508,-2.73741,0
-6.94233,-2.72912,0
-6.90252,-2.72032,0
-6.86158,-2.71281,0
-6.81871,-2.70336,0
-6.78523,-2.69499,0
-6.74301,-2.68297,0
-6.70138,-2.67018,0
-6.65947,-2.65573,0
-6.61725,-2.64061,0
-6.57721,-2.62519,0
-6.53750,-2.60903,0
-6.49331,-2.59055,0
-6.45145,-2.57249,0
-6.40517,-2.55052,0
-6.36426,-2.53013,0
-6.32684,-2.50935,0
-6.28899,-2.48490,0
-6.25908,-2.46334,0
-6.22614,-2.43571,0
-6.19171,-2.40317,0
-6.17719,-2.39203,0
-6.15958,-2.37202,0
-6.13962,-2.34323,0
-6.11962,-2.31084,0
-6.10480,-2.28320,0
-6.09626,-2.26785,0
-6.08574,-2.23182,0
-6.07720,-2.18982,0
-6.07285,-2.15808,0
-6.07101,-2.13003,0
-6.07201,-2.09811,0
-6.07264,-2.08334,0
-6.07717,-2.06183,0
-6.08355,-2.03949,0
-6.09397,-2.01210,0
-6.10565,-1.98478,0
-6.12419,-1.94968,0
-6.14776,-1.91078,0
-6.17495,-1.87115,0
-6.19350,-1.84576,0
-6.21449,-1.82101,0
-6.22997,-1.80367,0
-6.24433,-1.78975,0
-6.26323,-1.77294,0
-6.28337,-1.75558,0
-6.29498,-1.74550,0
-6.30414,-1.73733,0
-6.31360,-1.72978,0
-6.32484,-1.72042,0
-6.34190,-1.70663,0
-6.35857,-1.69291,0
-6.39115,-1.67126,0
-6.43091,-1.64659,0
-6.47830,-1.61937,0
-6.52355,-1.59484,0
-6.57160,-1.57093,0
-6.61428,-1.55108,0
-6.65665,-1.53209,0
-6.70216,-1.51257,0
-6.75014,-1.49389,0
-6.79032,-1.47900,0
-6.83243,-1.46418,0
-6.88245,-1.44831,0
-6.93093,-1.43449,0
-6.98064,-1.42105,0
-7.03131,-1.40872,0
-7.08279,-1.39773,0
-7.13387,-1.38769,0
-7.18289,-1.37849,0
-7.22954,-1.37041,0
-7.27419,-1.36320,0
-7.32146,-1.35559,0
